,Unnamed: 0,lesson_name,question_name,answer_choice_1,answer_choice_2,answer_choice_3,answer_choice_4,correct_answer,image_path,image_has_labels_to_guess,caption,blip_2_generated_answers,mapped_predictions
576,576,introduction to plants,Which plant organ has the function of absorbing water and minerals?,A,D,B,C,A,../Dataset/test/question_images/parts_plant_1.png,No,a diagram of a plant with a root and a leaf,d,C
577,577,introduction to plants,How many of the parts of the plant shown below are not involved in photosynthesis?,1,4,3,2,3,../Dataset/test/question_images/parts_plant_1.png,No,a diagram of a plant with a root and a leaf,a,1
578,578,introduction to plants,What type of root branches off of the primary root?,tap root,lateral root,root hairs,flower,lateral root,../Dataset/test/question_images/parts_plant_1051.png,No,a diagram of a plant with parts labeled in english,b,lateral root
579,579,introduction to plants,What part of the plants are covered with thin-walled dermal cells and tiny root hairs?,Roots,Bud,Stem,Flower,Roots,../Dataset/test/question_images/parts_plant_1051.png,No,a diagram of a plant with parts labeled in english,a,Roots
580,580,introduction to plants,What are root hairs attached to?,Primary root,Lateral roots,Vascular system,Root cap,Lateral roots,../Dataset/test/question_images/parts_plant_1051.png,No,a diagram of a plant with parts labeled in english,d,Root cap
581,581,introduction to plants,What is the top of the leaf called?,Petiole,Axil,Terminal Bud,Lateral Bud,Axil,../Dataset/test/question_images/parts_plant_1051.png,No,a diagram of a plant with parts labeled in english,c,Terminal Bud
582,582,introduction to plants,How many parts of the root system are there?,5,4,2,1,4,../Dataset/test/question_images/parts_plant_1051.png,No,a diagram of a plant with parts labeled in english,b,4
583,583,introduction to plants,How many principal parts are there to a vascular plant?,13,12,11,10,13,../Dataset/test/question_images/parts_plant_1051.png,No,a diagram of a plant with parts labeled in english,d,10
584,584,introduction to plants,What is the bottom-most part called?,root cap,primary root,flower,petiole,root cap,../Dataset/test/question_images/parts_plant_1143.png,No,a diagram of a vascular plant,b,primary root
585,585,introduction to plants,This structure provides the attachment of a leaf to the stem.,internode,lateral bud,node,petiole,node,../Dataset/test/question_images/parts_plant_1143.png,No,a diagram of a vascular plant,d,petiole
586,586,introduction to plants,Which is not part of the roots?,Root Hairs,Root Cap,Primary Root,Internode,Internode,../Dataset/test/question_images/parts_plant_1143.png,No,a diagram of a vascular plant,d,Internode
587,587,introduction to plants,How many leaves does this plant have?,5,2,6,4,4,../Dataset/test/question_images/parts_plant_1143.png,No,a diagram of a vascular plant,d,4
588,588,introduction to plants,How many parts of the root is shown?,5,4,3,2,4,../Dataset/test/question_images/parts_plant_1143.png,No,a diagram of a vascular plant,c,3
589,589,introduction to plants,What is a bud located at the apex (tip) of the stem?,Node Internode,Lateral Bud,Leaf Axil,Terminal Bud,Terminal Bud,../Dataset/test/question_images/parts_plant_1143.png,No,a diagram of a vascular plant,d,Terminal Bud
590,590,introduction to plants,Which structure is responsible for supporting the plant and holding it upright?,Flower,Stem,Node,Leaf,Stem,../Dataset/test/question_images/parts_plant_1149.png,No,a diagram of a tomato plant with parts labeled,b,Stem
591,591,introduction to plants,What connects the leaves to the root?,flower,shoot tip,stem,node,stem,../Dataset/test/question_images/parts_plant_1149.png,No,a diagram of a tomato plant with parts labeled,c,stem
592,592,introduction to plants,Which is not part of the roots?,Root hairs,Node,Root cap,Root tip,Node,../Dataset/test/question_images/parts_plant_1149.png,No,a diagram of a tomato plant with parts labeled,b,Node
593,593,introduction to plants,How many parts is the root made of?,3,4,2,1,3,../Dataset/test/question_images/parts_plant_1149.png,No,a diagram of a tomato plant with parts labeled,a,3
594,594,introduction to plants,How many structures are labelled below-ground?,2,4,3,1,3,../Dataset/test/question_images/parts_plant_1149.png,No,a diagram of a tomato plant with parts labeled,c.,3
595,595,introduction to plants,What is the bottom-most part called?,flower,root cap,stem,fruits,root cap,../Dataset/test/question_images/parts_plant_1149.png,No,a diagram of a tomato plant with parts labeled,b,root cap
596,596,introduction to plants,What connects the roots to the flower?,bud,node,stem,leaf,stem,../Dataset/test/question_images/parts_plant_1155.png,No,a diagram of a flower with parts labeled and labeled,c,stem
597,597,introduction to plants,What carries water and nutrients from the roots to the leaves?,Flower,Leaf,Stem,Roots,Stem,../Dataset/test/question_images/parts_plant_1155.png,No,a diagram of a flower with parts labeled and labeled,c,Stem
598,598,introduction to plants,What connects the flower to the root?,stem,bud,leaf,petal,stem,../Dataset/test/question_images/parts_plant_1155.png,No,a diagram of a flower with parts labeled and labeled,a,stem
599,599,introduction to plants,How many parts of the plant are labeled?,3,4,5,6,5,../Dataset/test/question_images/parts_plant_1155.png,No,a diagram of a flower with parts labeled and labeled,d,6
600,600,introduction to plants,From what part of the flower is water collected?,leaf,the roots,the bud,the flower,the roots,../Dataset/test/question_images/parts_plant_1155.png,No,a diagram of a flower with parts labeled and labeled,b,the roots
601,601,introduction to plants,Which connects to the stem below it?,leaf,flower,roots,bud,roots,../Dataset/test/question_images/parts_plant_1155.png,No,a diagram of a flower with parts labeled and labeled,a,leaf
602,602,introduction to plants,Which part of the plant is responsible for collecting sunlight and making food via photosynthesis?,C,B,A,D,A,../Dataset/test/question_images/parts_plant_1159.png,No,a diagram of a plant with the names of the parts,a,C
603,603,introduction to plants,Which part of the plant absorbs water and minerals?,B,D,A,C,D,../Dataset/test/question_images/parts_plant_1159.png,No,a diagram of a plant with the names of the parts,d,C
604,604,introduction to plants,What part of the plant collects sunlight and is responsible for photosynthesis?,A,C,B,D,A,../Dataset/test/question_images/parts_plant_1159.png,No,a diagram of a plant with the names of the parts,a,A
605,605,introduction to plants,How many parts does the plant have?,2,1,4,3,4,../Dataset/test/question_images/parts_plant_1159.png,No,a diagram of a plant with the names of the parts,d,3
606,606,introduction to plants,How many parts of the plant are there?,5,3,4,6,4,../Dataset/test/question_images/parts_plant_1159.png,No,a diagram of a plant with the names of the parts,d,6
607,607,introduction to plants,Which letter corresponds to roots?,C,A,D,B,D,../Dataset/test/question_images/parts_plant_1159.png,No,a diagram of a plant with the names of the parts,a,C
608,608,introduction to plants,What is the bottom part called?,seeds,roots,flower,leaf,roots,../Dataset/test/question_images/parts_plant_1160.png,No,a diagram of a plant with parts labeled in the following words,b,roots
609,609,introduction to plants,What connects the leaves to the root?,fruit,seeds,flower,stem,stem,../Dataset/test/question_images/parts_plant_1160.png,No,a diagram of a plant with parts labeled in the following words,d,stem
610,610,introduction to plants,What connects the roots to the leaf?,fruit,seeds,stem,flower,stem,../Dataset/test/question_images/parts_plant_1160.png,No,a diagram of a plant with parts labeled in the following words,c,stem
611,611,introduction to plants,How many leaves does the plant in the image have?,14,8,12,13,8,../Dataset/test/question_images/parts_plant_1160.png,No,a diagram of a plant with parts labeled in the following words,b,8
612,612,introduction to plants,What connects the leaves to the roots?,flower,stem,buds,seeds,stem,../Dataset/test/question_images/parts_plant_1160.png,No,a diagram of a plant with parts labeled in the following words,b,stem
613,613,introduction to plants,Which part of the plant is used for sexual reproduction?,Stem,Flower,Seeds,Roots,Flower,../Dataset/test/question_images/parts_plant_1160.png,No,a diagram of a plant with parts labeled in the following words,b,Flower
614,614,introduction to plants,Which structure is the stem?,D,B,A,C,C,../Dataset/test/question_images/parts_plant_2.png,No,a diagram of a plant with leaves and a stem,d,C
615,615,introduction to plants,"In the diagram, which letter shows the stem?",B,D,C,A,C,../Dataset/test/question_images/parts_plant_2.png,No,a diagram of a plant with leaves and a stem,a,B
616,616,introduction to plants,Which part of the plant makes food by photosynthesis?,Vegetative shoot,Taproot,Leaf Blade,Stem,Leaf Blade,../Dataset/test/question_images/parts_plant_3164.png,No,diagram of a plant with root and root structure,c,Leaf Blade
617,617,introduction to plants,"What is the largest, most central, and most dominant root from which other roots sprout laterally?",Taproot,Stem,Bud,Vegetative Shoot,Taproot,../Dataset/test/question_images/parts_plant_3164.png,No,diagram of a plant with root and root structure,a,Taproot
618,618,introduction to plants,How are water and nutrients transported from the roots to the leaves of the plant?,Through the leaf blade,Through the bud,Through the flower,Through the stem,Through the stem,../Dataset/test/question_images/parts_plant_3164.png,No,diagram of a plant with root and root structure,d,Through the stem
619,619,introduction to plants,Which is not part of the shoot system?,Bud,Node,Tap Root,Flower,Tap Root,../Dataset/test/question_images/parts_plant_3164.png,No,diagram of a plant with root and root structure,c,Tap Root
620,620,introduction to plants,How many parts does the shoot system of the plant in the diagram have?,6,9,5,7,7,../Dataset/test/question_images/parts_plant_3164.png,No,diagram of a plant with root and root structure,a,6
621,621,introduction to plants,How many systems does the plant have?,4,2,1,3,2,../Dataset/test/question_images/parts_plant_3164.png,No,diagram of a plant with root and root structure,d,3
622,622,introduction to plants,What are the protrusions coming out of the taproot called?,vegetative shoot,leaf blade,lateral roots,bud,lateral roots,../Dataset/test/question_images/parts_plant_3164.png,No,diagram of a plant with root and root structure,c,lateral roots
623,623,introduction to plants,What is an undeveloped or embryonic shoot and normally occurs in the axil of a leaf or at the tip of a stem?,Leaf Blade,Node,Bud,Flower,Bud,../Dataset/test/question_images/parts_plant_3164.png,No,diagram of a plant with root and root structure,c,Bud
624,624,introduction to plants,What part/organ holds the plant upright?,Stem,Taproot,Vegetative Shoot,Node,Stem,../Dataset/test/question_images/parts_plant_3195.png,No,a diagram of a plant with root and root parts labeled,a,Stem
625,625,introduction to plants,What connects the leaves to the root?,apical bud,vegetative shoot,stem,axillary bud,stem,../Dataset/test/question_images/parts_plant_3195.png,No,a diagram of a plant with root and root parts labeled,c,stem
626,626,introduction to plants,What connects the root to the leaf?,apical bud,stem,node,petiole,stem,../Dataset/test/question_images/parts_plant_3195.png,No,a diagram of a plant with root and root parts labeled,d,petiole
627,627,introduction to plants,What connects the taproot to the flower in the diagram?,stem,apical bud,leaf,axillary bud,stem,../Dataset/test/question_images/parts_plant_3195.png,No,a diagram of a plant with root and root parts labeled,a,stem
628,628,introduction to plants,"From the diagram, how many parts of the root system has been identified?",2,4,3,5,2,../Dataset/test/question_images/parts_plant_3195.png,No,a diagram of a plant with root and root parts labeled,c,3
629,629,introduction to plants,How many structures make up the root system?,2,1,4,3,2,../Dataset/test/question_images/parts_plant_3195.png,No,a diagram of a plant with root and root parts labeled,d,3
630,630,introduction to plants,"If the flower was not pollinated, then how would the plant be affected?",It would die,It would have no roots,It would have no leaves.,It would not reproduce.,It would not reproduce.,../Dataset/test/question_images/parts_plant_3195.png,No,a diagram of a plant with root and root parts labeled,d,It would not reproduce.
631,631,introduction to plants,What are the protrusions coming out of the taproot called?,apical bud,lateral roots,axillary bud,leaf,lateral roots,../Dataset/test/question_images/parts_plant_3195.png,No,a diagram of a plant with root and root parts labeled,b,lateral roots
632,632,introduction to plants,What connects the leaves to the root?,fruit,stem,seed,flower,stem,../Dataset/test/question_images/parts_plant_3201.png,No,a diagram of a plant with parts labeled and labeled,b,stem
633,633,introduction to plants,What part absorbs water?,flower,roots,shoot,leaf,roots,../Dataset/test/question_images/parts_plant_3201.png,No,a diagram of a plant with parts labeled and labeled,d,leaf
634,634,introduction to plants,In which section of the plant is the leaf located?,The flower,The stem,The root,The shoot,The shoot,../Dataset/test/question_images/parts_plant_3201.png,No,a diagram of a plant with parts labeled and labeled,d,The shoot
635,635,introduction to plants,What among the following is not constituted in the shoot?,Root,Seed,Flower,Fruit,Root,../Dataset/test/question_images/parts_plant_3201.png,No,a diagram of a plant with parts labeled and labeled,d,Fruit
636,636,introduction to plants,How many parts does the shoot have?,3,2,4,5,5,../Dataset/test/question_images/parts_plant_3201.png,No,a diagram of a plant with parts labeled and labeled,a,3
637,637,introduction to plants,How many parts of a plant are shown in this diagram?,2,4,9,7,7,../Dataset/test/question_images/parts_plant_3201.png,No,a diagram of a plant with parts labeled and labeled,d,7
638,638,introduction to plants,Outline the general life cycle of a plant.,How do plants grow?,One of the two generations of a plants life cycle is usually dominant.,The earliest plants were similar to green algae and lived in water.,Plants alternate between haploid and diploid generations.,How do plants grow?,../Dataset/test/question_images/parts_plant_3201.png,No,a diagram of a plant with parts labeled and labeled,d.,Plants alternate between haploid and diploid generations.
639,639,introduction to plants,Which part of the plant is located below ground?,Root,Leaf,Flower,Fruit,Root,../Dataset/test/question_images/parts_plant_3201.png,No,a diagram of a plant with parts labeled and labeled,a,Root
640,640,introduction to plants,It is the seed-bearing structure in flowering plants.,Flower,Stem,Root,Fruit,Fruit,../Dataset/test/question_images/parts_plant_3217.png,No,a diagram of a plant with all the parts labeled,d.,Fruit
641,641,introduction to plants,Which part of the plant draws up essentials from the soil?,leaf,stem,fruit,root,root,../Dataset/test/question_images/parts_plant_3217.png,No,a diagram of a plant with all the parts labeled,d.,root
642,642,introduction to plants,What part of the plant holds the fruit?,leaf,flower,Stem,root,Stem,../Dataset/test/question_images/parts_plant_3217.png,No,a diagram of a plant with all the parts labeled,b,flower
643,643,introduction to plants,Which of the following is NOT a part of a flowering plant?,Leaf,Stem,Brain,Root,Brain,../Dataset/test/question_images/parts_plant_3217.png,No,a diagram of a plant with all the parts labeled,c,Brain
644,644,introduction to plants,How many parts of a flowering plant are shown in the diagram?,4,5,6,3,5,../Dataset/test/question_images/parts_plant_3217.png,No,a diagram of a plant with all the parts labeled,a.,4
645,645,introduction to plants,What is the seed-bearing structure in flowering plants formed from the ovary after flowering?,Flower,Leaf,Fruit,Stem,Fruit,../Dataset/test/question_images/parts_plant_3217.png,No,a diagram of a plant with all the parts labeled,c.,Fruit
646,646,introduction to plants,Which part of the plant has stomata?,Stem,Leaf,Root,Flower,Leaf,../Dataset/test/question_images/parts_plant_3217.png,No,a diagram of a plant with all the parts labeled,b.,Leaf
647,647,introduction to plants,What is at the top of the plant?,leaf,flower,fruit,node,flower,../Dataset/test/question_images/parts_plant_3218.png,No,a diagram of a plant with parts labeled and labeled,b,flower
648,648,introduction to plants,Which is part of the shoot system?,Root System,Flower,Secondary Root,Primary Root,Flower,../Dataset/test/question_images/parts_plant_3218.png,No,a diagram of a plant with parts labeled and labeled,b,Flower
649,649,introduction to plants,How many components does the shoot system have?,8,9,6,10,6,../Dataset/test/question_images/parts_plant_3218.png,No,a diagram of a plant with parts labeled and labeled,c,6
650,650,introduction to plants,What is the minimum number of leaves a petiole can have?,2,1,3,4,1,../Dataset/test/question_images/parts_plant_3218.png,No,a diagram of a plant with parts labeled and labeled,a,2
651,651,introduction to plants,What are the protrusions coming out of the primary root called?,secondary root,taproot,ternary root,tertiary root,secondary root,../Dataset/test/question_images/parts_plant_3218.png,No,a diagram of a plant with parts labeled and labeled,d,tertiary root
652,652,introduction to plants,What connects the root to the flower?,node,stem,petal,internode,stem,../Dataset/test/question_images/parts_plant_3218.png,No,a diagram of a plant with parts labeled and labeled,b,stem
653,653,introduction to plants,What connects the branch from the stem?,leaf,axon,axil,trunk,axil,../Dataset/test/question_images/parts_plant_3221.png,No,a drawing of a branch with a stem and axil attached to it,c,axil
654,654,introduction to plants,What is vertically above the axil?,Branch,Leaves,Midrib,Stem,Branch,../Dataset/test/question_images/parts_plant_3221.png,No,a drawing of a branch with a stem and axil attached to it,d,Stem
655,655,introduction to plants,How many plant parts are shown?,3,4,0,5,3,../Dataset/test/question_images/parts_plant_3221.png,No,a drawing of a branch with a stem and axil attached to it,a,3
656,656,introduction to plants,Which connects the leaf to the branch?,vein,stem,midrib,axil,stem,../Dataset/test/question_images/parts_plant_3221.png,No,a drawing of a branch with a stem and axil attached to it,d,axil
657,657,introduction to plants,What connects the leaves to the root?,Z,W,X,Y,Y,../Dataset/test/question_images/parts_plant_3224.png,No,a diagram of a plant with the names of the parts,d,Y
658,658,introduction to plants,What does W stand for?,roots,leaf,flower,stem,flower,../Dataset/test/question_images/parts_plant_3224.png,No,a diagram of a plant with the names of the parts,c,flower
659,659,introduction to plants,What connects (X) to (Z)?,(U),(V),(Y),(w),(Y),../Dataset/test/question_images/parts_plant_3224.png,No,a diagram of a plant with the names of the parts,d,(w)
660,660,introduction to plants,Which letter corresponds to roots?,W,Y,Z,X,Z,../Dataset/test/question_images/parts_plant_3224.png,No,a diagram of a plant with the names of the parts,c,Z
661,661,introduction to plants,Which part of the plant absorbs water from the soil?,X,Y,W,Z,Z,../Dataset/test/question_images/parts_plant_3224.png,No,a diagram of a plant with the names of the parts,d,Z
662,662,introduction to plants,What is a bud that grows from the axil of a leaf and may develop into a branch or flower cluster?,Node,Leaf,Auxillary Bud,Terminal Bud,Auxillary Bud,../Dataset/test/question_images/parts_plant_3225.png,No,a diagram of a plant with parts labeled,c,Auxillary Bud
663,663,introduction to plants,Which part of the plant is responsible for holding the leaf to the root?,Node,Axillary Bud,Primary Root,Termnal Bud,Node,../Dataset/test/question_images/parts_plant_3225.png,No,a diagram of a plant with parts labeled,a,Node
664,664,introduction to plants,How many types of roots are shown on this diagram of a young plant?,2,3,4,1,2,../Dataset/test/question_images/parts_plant_3225.png,No,a diagram of a plant with parts labeled,c,4
665,665,introduction to plants,How many types are roots are there in this diagram?,4,1,2,9,2,../Dataset/test/question_images/parts_plant_3225.png,No,a diagram of a plant with parts labeled,a,4
666,666,introduction to plants,What are the protrusions coming out of the primary root called?,lateral root,axillary bud,internode,stem,lateral root,../Dataset/test/question_images/parts_plant_3225.png,No,a diagram of a plant with parts labeled,a,lateral root
667,667,introduction to plants,By what symbol are the roots labelled in the diagram?,(b),(a),(d),(c),(d),../Dataset/test/question_images/parts_plant_3227.png,No,a diagram of a plant with the names of its parts,(d),(c)
668,668,introduction to plants,Identify the plant organ responsible for collecting sunlight and making food by photosynthesis.,d,c,a,b,a,../Dataset/test/question_images/parts_plant_3227.png,No,a diagram of a plant with the names of its parts,c.,a
669,669,introduction to plants,Which part collects sunlight and make food by photosynthesis?,D,C,B,A,C,../Dataset/test/question_images/parts_plant_3227.png,No,a diagram of a plant with the names of its parts,d,A
670,670,introduction to plants,What part of a plant is labeled as (d)?,Flower,Leaf,Roots,Stem,Roots,../Dataset/test/question_images/parts_plant_3227.png,No,a diagram of a plant with the names of its parts,d.,Stem
671,671,introduction to plants,Which letter corresponds to roots?,d,c,a,b,d,../Dataset/test/question_images/parts_plant_3227.png,No,a diagram of a plant with the names of its parts,d,b
672,672,introduction to plants,What structure absorbs water and nutrients from the soil?,Flower,Stem,Leaf,Root,Root,../Dataset/test/question_images/parts_plant_3577.png,No,a diagram of a plant with all the parts labeled,d,Root
673,673,introduction to plants,Which part of the plant absorbs water and minerals?,fruit,root,leaf,stem,root,../Dataset/test/question_images/parts_plant_3577.png,No,a diagram of a plant with all the parts labeled,b,root
674,674,introduction to plants,How many fruits does the plant have?,4,5,2,1,5,../Dataset/test/question_images/parts_plant_3577.png,No,a diagram of a plant with all the parts labeled,d,1
675,675,introduction to plants,What is the bottom part called?,fruit,leaf,flower,root,root,../Dataset/test/question_images/parts_plant_3577.png,No,a diagram of a plant with all the parts labeled,d,root
676,676,introduction to plants,"Which part of the plant absorbs water and minerals, anchors and supports the plant, and stores food?",Root,Stem,Flower,Fruit,Root,../Dataset/test/question_images/parts_plant_3577.png,No,a diagram of a plant with all the parts labeled,a,Root
677,677,introduction to plants,Which part of the plan can absorb water and dissolved minerals from the soil?,Flower,Roots,Fruit,Stem,Roots,../Dataset/test/question_images/parts_plant_3579.png,No,a diagram of the parts of a plant,b,Roots
678,678,introduction to plants,Which part of the plant has chloroplasts that help turn sunlight into energy for the plant?,Leaf,fruit,roots,flower,Leaf,../Dataset/test/question_images/parts_plant_3579.png,No,a diagram of the parts of a plant,a,Leaf
679,679,introduction to plants,What is the highest point of a plant?,stem,leaves,fruit,flower,flower,../Dataset/test/question_images/parts_plant_3579.png,No,a diagram of the parts of a plant,d,flower
680,680,introduction to plants,What part of the plant supports it and hold it upright?,Fruit,Leaves,Flower,Stem,Stem,../Dataset/test/question_images/parts_plant_3579.png,No,a diagram of the parts of a plant,d,Stem
681,681,introduction to plants,How many parts are there in a plant?,6,3,5,7,5,../Dataset/test/question_images/parts_plant_3579.png,No,a diagram of the parts of a plant,a,6
682,682,introduction to plants,How many parts does a plant comprise?,7,4,6,5,6,../Dataset/test/question_images/parts_plant_3579.png,No,a diagram of the parts of a plant,d,5
683,683,introduction to plants,Which part of the plant has nodes?,Flower,Stem,Leaf,Root,Stem,../Dataset/test/question_images/parts_plant_3579.png,No,a diagram of the parts of a plant,b,Stem
684,684,introduction to plants,Which part of the plant is responsible for water absorption?,Leaves,Fruit,Flower,Roots,Roots,../Dataset/test/question_images/parts_plant_3579.png,No,a diagram of the parts of a plant,a,Leaves
685,685,introduction to plants,Which letter points to the roots?,C,A,B,D,D,../Dataset/test/question_images/parts_plant_3787.png,No,a diagram of a plant with the roots and leaves labeled,d,D
686,686,introduction to plants,Which part of the plant is covered in dermal cells?,d,a,c,b,d,../Dataset/test/question_images/parts_plant_3787.png,No,a diagram of a plant with the roots and leaves labeled,d,b
687,687,introduction to plants,What part of a plant is directly connected to the ground?,A,C,root,B,root,../Dataset/test/question_images/parts_plant_3787.png,No,a diagram of a plant with the roots and leaves labeled,c,root
688,688,introduction to plants,Which represents the root system?,C,D,A,B,D,../Dataset/test/question_images/parts_plant_3787.png,No,a diagram of a plant with the roots and leaves labeled,a,C
689,689,introduction to plants,"Which part of the plant absorbs water and minerals, anchors and supports the plant, and stores food?",D,C,B,A,D,../Dataset/test/question_images/parts_plant_3787.png,No,a diagram of a plant with the roots and leaves labeled,d,A
690,690,introduction to plants,What part is responsible for absorbing water and minerals?,D,B,A,C,D,../Dataset/test/question_images/parts_plant_3788.png,No,a diagram of a plant with leaves and roots,d,C
691,691,introduction to plants,What links the roots and the leaf?,flower,stem,stigma,veins,stem,../Dataset/test/question_images/parts_plant_3788.png,No,a diagram of a plant with leaves and roots,b,stem
692,692,introduction to plants,Which represents the root system?,A,D,B,C,D,../Dataset/test/question_images/parts_plant_3788.png,No,a diagram of a plant with leaves and roots,d,C
693,693,introduction to plants,What would happen if a large plan had a small root system?,it would absorb more ground water,it would process nutrients better,it would topple over due to lack of anchoring,the plant would grow wider rather than taller,it would topple over due to lack of anchoring,../Dataset/test/question_images/parts_plant_3788.png,No,a diagram of a plant with leaves and roots,c,it would topple over due to lack of anchoring
694,694,introduction to plants,Which letter corresponds to roots?,C,D,A,B,D,../Dataset/test/question_images/parts_plant_3788.png,No,a diagram of a plant with leaves and roots,d,B
695,695,introduction to plants,What connects the root to the leaf?,G,C,A,stem (B),stem (B),../Dataset/test/question_images/parts_plant_3789.png,No,a diagram of a plant with leaves and roots,d,stem (B)
696,696,introduction to plants,What connects the roots to the leaves?,(B),(C),(A),(A) & (B),(B),../Dataset/test/question_images/parts_plant_3789.png,No,a diagram of a plant with leaves and roots,d,(A) & (B)
697,697,introduction to plants,How many parts of a plant?,2,1,3,4,3,../Dataset/test/question_images/parts_plant_3789.png,No,a diagram of a plant with leaves and roots,d,4
698,698,introduction to plants,Which among these is farthest from the ground?,B,A,D,C,A,../Dataset/test/question_images/parts_plant_3789.png,No,a diagram of a plant with leaves and roots,b,A
699,699,introduction to plants,Which letter corresponds to roots?,B,A,C,D,C,../Dataset/test/question_images/parts_plant_3789.png,No,a diagram of a plant with leaves and roots,d,D
700,700,introduction to plants,Where does photosynthesis occur?,R,S,P,Q,S,../Dataset/test/question_images/parts_plant_3790.png,No,a diagram of a plant with the parts labeled,d,Q
701,701,introduction to plants,Which represents the root system?,R,P,Q,S,R,../Dataset/test/question_images/parts_plant_3790.png,No,a diagram of a plant with the parts labeled,a,R
702,702,introduction to plants,How many parts of the plant are above ground?,Three,Two,Four,One,Three,../Dataset/test/question_images/parts_plant_3790.png,No,a diagram of a plant with the parts labeled,a,Three
703,703,introduction to plants,What is the role of R in the figure?,It releases oxygen as a by-product.,It absorbs nutrients and water from the soil.,It performs photosynthesis.,It produces pollen.,It absorbs nutrients and water from the soil.,../Dataset/test/question_images/parts_plant_3790.png,No,a diagram of a plant with the parts labeled,b.,It absorbs nutrients and water from the soil.
704,704,introduction to plants,Which letter corresponds to roots?,R,S,P,Q,R,../Dataset/test/question_images/parts_plant_3790.png,No,a diagram of a plant with the parts labeled,a,R
705,705,introduction to plants,Which letter points to a leaf?,B,D,C,A,B,../Dataset/test/question_images/parts_plant_3791.png,No,a diagram of a tree with the roots labeled,d,A
706,706,introduction to plants,Identify the plant organ responsible for collecting sunlight and making food by photosynthesis.,D,B,C,A,B,../Dataset/test/question_images/parts_plant_3791.png,No,a diagram of a tree with the roots labeled,d,A
707,707,introduction to plants,"In this plant diagram, where are the roots?",b,C,D,a,D,../Dataset/test/question_images/parts_plant_3791.png,No,a diagram of a tree with the roots labeled,a,b
708,708,introduction to plants,Which represents the root system?,A,D,B,C,D,../Dataset/test/question_images/parts_plant_3791.png,No,a diagram of a tree with the roots labeled,d,C
709,709,introduction to plants,What is the part labelled D?,Stem,Leaf,Root,Flower,Root,../Dataset/test/question_images/parts_plant_3791.png,No,a diagram of a tree with the roots labeled,d,Flower
710,710,introduction to plants,Which part of the plant anchors and supports the plant?,A,C,B,D,D,../Dataset/test/question_images/parts_plant_3791.png,No,a diagram of a tree with the roots labeled,d,D
711,711,introduction to plants,Which structure is NOT one of the main three structures plants have in common?,B,C,D,A,C,../Dataset/test/question_images/parts_plant_3793.png,No,a diagram of a plant with the parts labeled,d,A
712,712,introduction to plants,Which part of the plant is responsible for getting nutrients and water from the soil?,D,C,B,A,D,../Dataset/test/question_images/parts_plant_3793.png,No,a diagram of a plant with the parts labeled,d,A
713,713,introduction to plants,Which represents the root system?,B,C,A,D,D,../Dataset/test/question_images/parts_plant_3793.png,No,a diagram of a plant with the parts labeled,d,D
714,714,introduction to plants,How many basic parts are there to a plant?,3,1,2,4,4,../Dataset/test/question_images/parts_plant_3793.png,No,a diagram of a plant with the parts labeled,d,4
715,715,introduction to plants,How many leaves are in the plant?,9,8,6,7,7,../Dataset/test/question_images/parts_plant_3793.png,No,a diagram of a plant with the parts labeled,c,6
716,716,introduction to plants,Which letter corresponds to roots?,D,A,C,B,D,../Dataset/test/question_images/parts_plant_3793.png,No,a diagram of a plant with the parts labeled,a,D
717,717,introduction to plants,Will the plant grow without its roots?,Yes,Depends on the plant,Maybe,No,No,../Dataset/test/question_images/parts_plant_3793.png,No,a diagram of a plant with the parts labeled,d,No
718,718,introduction to plants,Identify the part labeled Q in the figure.,Roots,Fruit,Leaf,Stem,Stem,../Dataset/test/question_images/parts_plant_3796.png,No,a drawing of a plant with a flower and leaves,d,Stem
719,719,introduction to plants,How many leaves does the plant have?,4,10,6,8,8,../Dataset/test/question_images/parts_plant_3796.png,No,a drawing of a plant with a flower and leaves,a,4
720,720,introduction to plants,"In the picture, which part is letter Q?",Flower,Stem,Leaf,Roots,Leaf,../Dataset/test/question_images/parts_plant_3796.png,No,a drawing of a plant with a flower and leaves,d,Roots
721,721,introduction to plants,This is where photosynthesis happens.,B,D,A,C,B,../Dataset/test/question_images/parts_plant_3797.png,No,a diagram of a plant with leaves and roots,d,C
722,722,introduction to plants,What part of a plant is connected to the ground?,d,a,root,b,root,../Dataset/test/question_images/parts_plant_3797.png,No,a diagram of a plant with leaves and roots,c,root
723,723,introduction to plants,"From the diagram, identify the part of the plant that absorbs water and nutrients from the soil.",A,D,B,C,D,../Dataset/test/question_images/parts_plant_3799.png,No,a plant with the name of the parts labeled,d,C
724,724,introduction to plants,Which letter shows the roots?,B,D,C,A,D,../Dataset/test/question_images/parts_plant_3799.png,No,a plant with the name of the parts labeled,d,A
725,725,introduction to plants,What is the bottom most part in the diagram?,A,B,C,D,D,../Dataset/test/question_images/parts_plant_3799.png,No,a plant with the name of the parts labeled,d,D
726,726,introduction to plants,"From the diagram, how many parts of the plant identified absorb water and nutrients from the soil?",4,1,3,2,1,../Dataset/test/question_images/parts_plant_3799.png,No,a plant with the name of the parts labeled,a,4
727,727,introduction to plants,In which letter shows the flower?,B,C,A,D,A,../Dataset/test/question_images/parts_plant_3799.png,No,a plant with the name of the parts labeled,a,B
